Stock Code;Bar Code;Stock Description;Retail Price Incl.;Count
10152;;CURTAIN PINE POLE 2MT;91.5;
10153;;CURTAIN PINE POLE 2.5MT;110.5;
10154;;CURTAIN PINE POLE 3MT;125;
10155;;CURTAIN PINE BRACKETS;50;
10156;;CURTAIN FINIALS PINE POINTED;18;
10157;;CURTAIN FINIALS PINE BALL;15;
10158;;ARBORCOAT 50 CLEAR BASE 20LT;1328.5;
10159;;L/C GLOBE A60 42WATT HALOGEN ES;35.5;
10160;;L/C GLOBE A60 42WATT HALOGEN BC;31;
10161;;LS QD SCHOOL FRAME GREY 20LT;790;
10162;;LS QD SCHOOL FRAME GREY 5LT;215;
10163;;NAA VCF MAHOGANY ON KIAAT 5LT;454;
10164;;NAA VCF BROWN ON RED WOOD 5LT;464;
10165;;NAA VCF LIGHT MAHOGANY ON KIAAT 5LT;364;
10166;;NAA JOHNSONS BROWN STAIN 20LT;733.5;
10167;;NAA MOF CHERRY STAIN 20LT;1863;
10168;;NAA MOF IMBUIA STAIN 20LT;794;
10169;;NAA CSL PATINA OPT 6 20LT;755;
10170;;NAA CSL PATINA OPT 6 5LT;211;
10171;;REC HT SP THINNERS 1LT;0;
10172;;DEKAROOF DEEP BLUE 20LT;1110.5;
10173;6008741001984;NAD SPRAY MACHINERY GREY;51.5;
10174;0700083436870;I/T TAR GONE 1LT;173.5;
10175;;DEK WALLFLEX PASTEL 5LT;347;
10176;;DEK WALLFLEX PASTEL 20LT;1239;
10177;5412386058615;PLASTIK 70 SPRAY 200ML;145;
10179;;PMB W/B VACUME WALNUT 25LT;498.5;
10180;;PMB W/B VACUME TEAK 25LT;435;
10181;;DX TRADE MASONRY 5LT;544.9;
10182;;NAA PINELAND YELLOW P/STAIN 25;1076;
10183;;DEK WALLFLEX DEEP 5LT;439;
10185;6004596003661;DURAM NUGLO GREEN 5LT;512.5;
10186;;C/S DEGREASER WATER BASED 25LT;709;
10187;;PMB W/B VACUME NATURAL 25LT;244;
10188;;DRUM DEPOSIT - 2210LT SWIFT CHEM.;148.2;
10189;;DEK STONECHIP ANISEED 5LT;231.5;
1019;;LA GE10L 1/4 HYD MALE E ADPT;32.2;
10190;;LS QD JUPIDEX FORKLIFT KHAKI 1LT;77;
101903BOX;;PL POLYCELL POLYFILLA 500G (BOX);0;
10191;;NAA WOODFORUM CORICRAFT OAK 20LT;625;
10192;;NTOMBI H/S W/B CASTLE ROCK 25LT;1620;
10193;;NTOMBI H/S W/B CASTLE ROCK 5LT;305;
10194;;NAA REGENCY LIGHT CHERRY STN 20LT;900;
10195;;DEKAROOF AMBER VALLEY BROWN 5LT;249.5;
10196;;SPRAYON SUNSHINE YELLOW 250ML;35.9;
10197;;LS AC SHEEN WHITE 500ML;44;
10198;;LS AC PRIMER WHITE 500ML;46;
10199;;LS ISOLATION SEALER 1LT;90;
10201;;PMB IND/LAC CREAM WASH RFU 5LT;288.5;
10202;;NAA MV VIB MAHOGANY STAIN 5LT;325;
10203;;ULTRADEK TURNSTONE 20LT;1629;
10217;;NAA SUTHERLANDS MAHOGONY P/STN;741;
1022;;LA REDUCER SOCKET;29;
10220;;COOL IDEAS MAHOGANY STAIN 5LT;222;
10221;;DX TESTER POT 250ML;39;
10223;6007560004947;GEN NOVA 18 LIGHT OAK 500ML;68.5;
10224;;H/R SMOOTH GOLD 1LT;220.5;
10225;;LS QD NOVA GREY 20LT;883.5;
10226;;MG PROTEX LT OAK 200LT;10002.5;
10227;;MG PROTEX LT OAK 20LT;1179;
10228;;DEK QD ACTION ALKYD BLACK 20LT;1103;
10229;;MG POLYACRYTHANE BLACK KIT 5LT;743.5;
10230;;JETTESON W/B DIPPING GREEN 1LT;63;
10231;;LS QD CAMCHAD YELLOW 5LT;808;
10232;;PT HACKSAW JUNIOR P/HNDLE;13;
10234;;COPROX CRACKFILLER WHITE 1KG;32.5;
10235;;COPROX CEMENT ADDITIVE 2.5KG;71.5;
10236;;CAN - PLASTIC 20LT DEKADE;0;
10237;;LS QD EXP/SIGN BURGANDY 5LT;335;
10238;;LS QD EXP/SIGN GREEN 5LT;360.5;
10239;;M/M BODYFILLER HARDENER 25GM;16;
10240;;LS QD EXP/SIGN STHIL ORANGE 5LT;345.5;
10241;;LS STONECHIP ANISEED 5LT;295;
1025;;L/C CABLE TIE NATURAL 4.7X392;95.5;
10265;6003789074372;SCRAPER -  SET ACADEMY;27.5;
10266;;PATTEX NO MORE NAILS 400GR;140;
10269;;T/L SPREADER CLAMP 2-IN1 2PCE;36.4;
10272;6005721018826;RUW 5M METAL INDUST DRILLBIT;30.5;
10273;6005721018833;RUW 5.5M METAL INDUST DRILLBIT;40;
10274;6005721018840;RUW 6M METAL IND DRILLBIT;41.5;
10275;6005721018857;RUW 6.5M METAL INDUST DRILLBIT;49;
10277;6005721018871;RUW 7.5M METAL IND DRILLBIT;60;
10278;6005721018888;RUW 8M METAL IND DRILLBIT;67.5;
10279;6005721018895;RUW 8.5M METAL IND DRILLBIT;73.5;
1028;;ZEL HAMMER DRILL 710W 13MM CHK;452.9;
10280;6005721018901;RUW 9M METAL IND DRILLBIT;82;
10281;6005721018918;RUW 9.5M METAL INDUST DRILLBIT;90;
10282;6005721018925;RUW 10M METAL INDUST DRILLBIT;97;
10283;;RUW 10.5M METAL INDUS DRILLBIT;57.6;
10284;;SCRAPER - PROF 70MM MARSHAL;44.5;
10285;;SCRAPER - PROF 90MM MARSHAL;47;
10287;;SCRAPER - PROF 30MM MARSHAL;41.5;
1031;;ZEL CIRCULAR SAW 1300W 190MM B;754.95;
10352;6005721006601;RUW 4M INDUS/CON DRILLBIT;26.5;
10353;6005721019748;RUW 4.5M IND/CON DRILLBIT;28;
10354;6005721006618;RUW 5M INDUST/CONC DRILLBIT;27;
10355;;L/C GLOBE 40W B15 FROST/CANDLE;32;
10357;;GRIPPON 5LT;194.5;
10374;;MTS GLUE GUN HOBBY 55W;120.4;
10375;;HAMMER BALL PEIN 500GR W/HND;136.7;
10380;;T/L CAULKING GUN H/D;34.6;
10381;;T/L MINI MULTI-TOOL 10 IN 1;146;
10386;;PMB W/B VACUME DESIGNER WALNUT 25LT;618;
10387;;PMB W/B VACUME DESIGNER TEAK 25LT;449;
10388;;ALN WASHLINE 4MMX30MT;27;
10391;;ALN SKI ROPE 5MMX5MT;8.5;
10392;;ALN SKI ROPE 5MMX10MT;11;
10393;;ALN SKI ROPE 5MMX30MT;25;
10394;;ALN SKI ROPE 7MMX5MT;9.5;
10395;;ALN SKI ROPE 7MMX30MT;39;
10396;;ALN SKI ROPE 10MMX30MT;64;
10398;;ALN SKI ROPE 7MMX10MT;14;
10399;;ALN SKI ROPE 10MMX10MT;25;
10400;;KIR RAIL SINGLE STEEL 1MT;17.5;
10401;6005721018864;RUW 7M METAL INDUST DRILLBIT;54;
10403;;KIR RAIL SINGLE STEEL 2MT;35;
10405;;KIR RAIL SINGLE STEEL 2.5MT;43.8;
10407;;KIR RAIL SINGLE STEEL 3MT;52.6;
10412;;KIR RAIL DOUBLE STEEL 1.5MT;47.1;
10413;;KIR RAIL DOUBLE STEEL 2.5MT;78.5;
10414;;KIR RAIL DOUBLE STEEL 3MT;94.5;
10415;;KIR BRACKET DBL POLY W/F 2'S;7.1;
10416;;KIR BRACKET SINGLE REG POLY;6.4;
10417;;KIR HUSH GLIDERS;9.6;
10418;;KIR GLIDERS C TRACK REG;9.1;
10419;;KIR STRETCHWIRE 2.5MT;14.3;
10420;;KIR STRETCHWIRE PLASTIC 5.0M;25.35;
10421;;KIR GOLDEN PLEATER ADJ STEEL;36.5;
10422;;KIR WHITE KNIGHT PLEATER ADJ;21.9;
10423;;KIR END CAP REGULAR;5;
10424;;STRETCH WIRE HOOKS & EYES 8+8;6.6;
10425;;R2/R24 SPLIT RINGS 24MM KIRTEC;15.7;
10426;;KIRTECH R6 ACETYL HOOKS;8.3;
10427;;KIRTECH R7 BRASSED HOOKS;12.4;
10428;;HOOKS & EYES KIRTECH;6.6;
10429;;KIR END STOPS FOR I-RAIL;7.9;
10430;;KIR SCREW EYES BRASS;9;
10434;6003851271203;PL AEROLAK COCOA BROWN;51.6;
10438;6003851270305;PL AEROLAK PUMPKIN ORANGE;51.6;
10441;6003851270701;PL AEROLAK SPEARMINT GREEN;51.6;
10442;;PL AEROLAK SUMMER LILAC;51.6;
10443;;RUNNERS WHEEL BLUE ACETYL KIRT;14;
10444;;KIR RUFFLETTE CLEAT LARGE;3.6;
10445;6005721006663;RUW 9M IND/CON DRILLBIT;40.5;
10446;6005721019786;RUW 9.5M IND/CON DRILLBIT;43.5;
10447;6005721006670;RUW 10M INDUST/CONC DRILLBIT;49.5;
10448;6005721029570;RUW 8X400MM CON LONG;152.5;
10453;;AMPOL 633 CLOTH REPAIR 48X5M;33.5;
10454;;TAPE - BUFF PMB ABR.;12;
10455;;TAPE - CLEAR PMB ABR.;12;
10456;;AMPOL BLITZ LIGHT CLEANING PAD;14.5;
10457;;AMPOL BLITZ ALL PURPOSE PAD;14.5;
10458;;AMPOL BLITZ COARSE PAD;23;
10470;;AMPOL S/FUSING RUBBER 18X.76X3;34.5;
10471;;AMPOL H/S STRAPPING 48X5M;42.5;
10472;;MASKING TAPE 18MM;13.5;
10473;;MASKING TAPE 24MM;18;
10474;;MASKING TAPE 36MM;27;
10475;;MASKING TAPE 48MM;36;
10477;;AMPOL 725 N/SLIP SAFETY 25X1M;46;
10480;6002814265822;BRUSH - WIRE 26582 S/L STEEL;65;
10483;;KK MG106INBL GEORGIAN PLATE;174.1;
10485;;BIRD FEEDER WOODEN;150;
10486;6004709161004;SIKA RAINTITE GREY KIT 5LT;172.5;
10487;;WOODOC 25 20LT;2328;
10488;;DEK QD KHAKI GREEN 5LT;421.5;
1049;;PROSTRUCT 529 S/CONCRETE 25KG;555;
10517;;SPRAYGUN D/V NEEDLE PACKING(OH;77;
10525;;DEK QD NPB GREEN 5LT;421.5;
10545;;WOODOC 35 MERANTI 1LT;169;
10546;6004215001153;GEN BIT & GLUE REMOVER 5LT;447;
10547;;NAA DARK MAHOGONY P/S 25LT;1018;
10548;6002065009817;ABE ROCK BITUMEN 12.5KG;730.5;
10555;6007560007870;GEN NOVA 18 OREGON 500ML;68.5;
10567;;NAA DARK MAHOGONY P/S 5LT;264.8;
10573;;DISC SEMI-FLEX 16SIC 115X22;71.5;
10577;;ALN UTILITY CORD 3MMX10MT;11;
10582;;D/B ACRYLIC SEALANT WHITE 280M;26;
10591;;LS BODYFILLER MICROLITE 1KG;99;
10593;;BATTERY - PENLITE AA2;33;
10594;;BATTERY - MINIPEN AAA2;35;
10595;;BATTERY - MED. TORCH C2;40.8;
10601;;CHAIN - BALL NO6-BR 3.2MM;10.7;
10618;6003064000683;DURAM NS4 GREEN 5LT;496;
10619;6003064000676;DURAM NS4 GREEN 1LT;127.5;
10620;6003064000669;DURAM NS4 GREEN 500ML;78;
10621;;T/L MULTI FUNCTION KNIFE;73;
10622;;SASH HANDLE 102MM CP;18.3;
10623;6004215002068;GEN BIT & GLUE REMOVER 1LT;140;
10625;;MAT - RUBBER BRUSH 700X460M;104;
10626;;MAT - COIR NATURAL 600X400 18M;115;
10627;;MAT - DIRT TRAPPER 900X600MM;458;
10670;6005721023400;RUW 6M WOOD BRAD DRILLBIT;25;
10671;6005721023417;RUW 8M WOOD BRAD DRILLBIT;29.5;
10673;6005721023349;RUW 12M WOOD/BRAD DRILLBIT;40;
10675;;RACO HOSE CONNECT/1/2 55205C;42;
10684;;RUW 5.5M MAS DRILLBIT;6;
10685;;MAT - RHINO TYRE 640X380MM;181;
10786;6005721022755;RUW 18M WOOD FLAT DRILLBIT;33.5;
1079;;PROSTRUCT 723 WHITE 5LT;775;
10814;;MTS SHOE KNIFE W/HANDLE 100MM BLADE;44.5;
10815;;BRUMMER W/F PINE 500GM;23;
10816;;BRUMMER W/F LIGHT OAK 500GM;23;
10817;;BRUMMER W/F MERANTI 500GM;23;
10818;;BRUMMER W/F TEAK 500GM;23;
10819;;BRUMMER W/F WHITE 500GM;23;
10831;6009600992245;POWAFIX TEAK OIL 5LT;205;
10838;6004215000569;GEN MOULD STOP 500ML;56.5;
10898;6005721018963;RUW 12M METAL INDUST DRILLBIT;141;
10900;;RUW PLIER 130MM DIAGONAL;63.1;
10911;;MTS BLADE DIAM SEGMENTED 115MM;59.5;
10913;;WORKBENCH - PORTABLE (CONS) (W;265.39;
1092;;M/M VELCRO BACKING PAD 150MM;95;
10949;;D/B ZINC ALU.SPRAY 400ML;84.5;
10951;6007560003902;GEN TIMBER & WOODBLOCK 5LT;294.5;
10954;6004765118608;BRUSH - RENOVATOR ROOF 140MM;148;
10961;6005721091089;RUW 8MM GLASS DRILLBIT;75;
10962;6005721091096;RUW 10M GLASS DRILLBIT;81.5;
10969;;KK MV111IMSBL BAROQUE ON PLATE;146.6;
10974;6008558027931;DEK COL L/F M/YELLOW XATLF 1LT;892;
10975;6008558024923;DEK COL L/F B/YELLOW XALF 1LT;867.5;
10977;6008558024916;DEK COL IN/BRIGHT YELLOW XA 1L;457;
10979;6008558024954;DEK COL BLACK XB 1LT;165;
10981;6008558024961;DEK COL YELLOW OXIDE XC 1LT;201.5;
10983;6008558024978;DEK COL PTHALO GREEN XD 1LT;250.5;
10984;6008558025111;DEK COL PTHALO BLUE XBPE 1LT;595.2;
10985;6008558024985;DEK COL PTHALO BLUE XE 1LT;212.5;
10987;6008558024992;DEK COL RED OXIDE XF 1LT;269.5;
10989;6008558025005;DEK COL L/F BR/ORANGE XG 1L;668;
10993;6008558025029;DEK COL PERM BRIGHT RED XHP 1L;410.5;
10994;;T/L TILE BLADE KIT 4PC DIA/CER;163.3;
10997;6008558025043;DEK COL VIOLET XJ 1LT;236;
10999;6008558025067;DEK COL RAW UMBER XL 1LT;185;
11000;;PT PLIER COMB 200MM N/PL/D/FOR;80.5;
11001;6008558025074;DEK COL MAGENTA XM 1LT;445;
11003;6008558025050;DEK COL WHITE XK 1LT;294.5;
11005;6008558024947;DEK COL INTER/YELLOW XAT 1LT;447.5;
11006;;T/L MULTI-TOOL H/DUTY 7 IN 1;238;
11007;6008558025128;DEK COL BRIGHT RED XBPH 1LT;665;
11008;;T/L HAMMER CLAW 500GR WOOD/HND;53;
11009;6008558025081;DEK COL BRIGHT YELLOW XBPA 1LT;583;
11010;;MTS ELEC MULTIPLUG 7WAY 4X16;94.3;
11011;;MTS EURO ADAPTOR 1X16-2X5L;19.2;
11012;;T/C KNIFE SHARPENER WITH TUNGS;71;
11013;6009675086696;T/C HEX KEY SET 10PC 1.5-10MM;57.3;
11015;;T/C HOSE REPAIR KIT 8MM;24.1;
11019;;POLYCORD 15MM - MT;5.6;
11020;;POLYCORD 25MM - MT;10;
11021;6005721004584;RUW SCREWDRIVER PH/ACE PH0X60;40.5;
11027;;T/L MINI MULTI-TOOL SET 2PC;174;
11028;;POLYCORD 6MM - MT;2;
11031;;DISC RAZOR A46T 115/1/22;13.5;
11033;6004215002761;GEN HYDROSEAL 1LT;93.5;
11037;6004596001025;DURAM DURAPOND BLUE 1LT;264.5;
11040;6005721022779;RUW 20M WOOD FLAT DRILLBIT;34;
11042;;T/L PLIER SET 2PC S/LESS STEEL;29.2;
11044;;POLYCORD 8MM - MT;2.9;
11045;;POLYCORD 10MM - MT;3.6;
11046;;POLYCORD 20MM - MT;7.2;
11050;;ELECT BULKHEAD POLYCARBONATE;40.4;
11052;;L/C GLOBE 100W B22 CLEAR;25.5;
11053;;L/C GLOBE 40W E27 FROST/CANDLE;24;
11067;;APPLE/PEARTISER 340ML;9.8;
11070;;PT SILICONE STRIPPER 90ML;30.3;
11078;6004709003007;SIKA CEMFLEX 5LT;510;
11080;;MAT - COIR 800X500MM 18MM;180.6;
11082;;MAT - STEEL 750X450MM;220.7;
11099;;WIRE BRUSH CUP 65MM M14X2 ZEL;47;
11100;;DEK QD MEDIUM BASE 20LT;1835;
11107;6004596002763;DURAM XYLENE 1LT;109.5;
11110;;WEBCO TAPE - 8MT;60;
11111;;T/L MULTI-TOOL WITH LED;119;
11132;;ROLLER HANDLE 50-70MM (F5904);9.5;
11137;;ZEL G CLAMP 200MM;245;
11139;;T/L HACKSAW FRAME PROFESSIONAL;54.7;
11148;6001563671502;GEN FILLA FOAM 500ML;86.5;
11159;6003173000826;H/R SOLVENT 1LT;86.5;
11161;;MTS TOOLBOX CANTI 5TIER;547.9;
11166;;WEBCO CHISEL 32MM;60;
11169;;SCRAPER - PROF 75MM MARSHAL;27.7;
11184;6005721006687;RUW 12M INDUST/CONC DRILLBIT;54;
11185;6005721006694;RUW 14M IND/CONC DRILLBIT;84.5;
11187;6005721020003;RUW 13MM INDUST/CONC DRILLBIT;62;
11190;;LAMBSWOOL REFILL 225MM (H);28;
11192;6001062022799;DX TRADE PEARLGLO SB WHITE 1LT;200;
11202;6004765118202;BRUSH - RENOVATOR W/PROOF 120M;84;
11213;;C/S HW RETARDER THINNERS 25LT;885.99;
11219;6005721029662;RUW 13X400M CONC LNG DRILLBIT;199.5;
11220;6005721019793;RUW 11M INDUST/CONC DRILLBIT;49.5;
11222;;MTS BLADE DIAM CONTINUOUS 115M;59.5;
11225;;CURTAIN KNOBS NAT.LARGE FLAT;26;
11286;6004215000057;GEN URO SEAL 800ML;162.5;
11287;;ALN OUTDOOR BRAID 8MMX30MT;79;
11306;;MTS TROWEL POINT W/HNDL 150MM;29.5;
11309;;KK ALABAMA ON PLATE AL2306SNBL;184.2;
11314;;KK SAT/NICK ON PLATE 8527/BRNB;266.5;
11323;;T/L MINI MULTI-TOOL HAMMER;101;
11324;;SPRAYGUN D/V FLUID TIP (OH);254;
11327;;ALN OUTDOOR BRAID 8MMX10M;31;
11330;;RUW 6X200M IND/CON LONG;47.6;
11331;;RUW 8X200M IND/CON LONG;60.9;
11332;6005721023387;RUW 4M WOOD BRAD DRILLBIT;21.5;
11333;6005721018734;RUW 1.5M METAL INDUST DRILLBIT;15.5;
11334;6005721018741;RUW 2MM METAL INDUST DRILLBIT;15.5;
11335;6005721018765;RUW 3M METAL INDUST DRILLBIT;19;
11336;6005721018772;RUW 3.2M METAL INDUST DRILLBIT;19.5;
11337;6005721024353;RUW 4.8M METAL INDUST DRILLBIT;29.5;
11338;6005721029594;RUW 12X400M IND/CON LNG DRILLB;166;
11339;;RUW 10X200M INDUS/CONC LONG;70.5;
11340;6005721018987;RUW 13M METAL INDUST DRILLBIT;163.5;
11341;6005721097821;RUW ORBITAL RANDOM 115 P60;40;
11367;;KK BRASS NUMBERS 75MM;34.5;
11419;6005721006595;RUW 3M IND/CON DRILLBIT;25.5;
11420;6005721019731;RUW 3.5M IND/CON DRILLBIT;26;
11421;6005721023660;RUW 15M INDUST/CON DRILLBIT;86;
11422;6005721006700;RUW 16M IND/CON DRILLBIT 51600;95;
11423;6005721029587;RUW 10X400 INDUST/CONC LONG;158;
11424;6005721024674;RUW 14X400M IND/CON/LNG D/BIT;225;
11425;;RUW 16X400M CON/LNG DRILLBIT;105.1;
11457;;MTS BLADE DIAM CONTINUOUS 230M;177.5;
11458;;MTS BLADE DIAM TURBO MARB 230M;182;
11463;;ELECT EAGLE PULL SWITCH FLOUR.;20.5;
11473;;ELECT EURO TOP ENTRY PLUG PROT;8.8;
11474;;ELECT ADAPTOR DBL 2X16A;26.4;
11475;;MASONRY NAILS 25MM(500GR);36.4;
11482;;ELECT INDUSTRIAL SWITCH PLUG;69.3;
11484;;ELECT CEILING FAN SWITCH 3 SPD;33.9;
115-9012;;CG DIAMOND GLOSS CATALYST 25LT;1209.5;
11508;;ZEL KNIFE BLADE H/D PK10;47;
11510;;CRAFT GLOSS - COLOURS 125ML;36.5;
11522;6005721018758;RUW 2.5 METAL INDUST DRILLBIT;20.5;
11523;6005721018789;RUW 3.5 METAL INDUST DRILLBIT;21.5;
11524;6005721018796;RUW 4M METAL INDUST DRILLBIT;23.5;
11525;6005721018819;RUW 4.5M METAL INDUST DRILLBIT;27.5;
11526;;BROOM - GUTTER SWEEPER 92326;83;
11527;;CLEARNACE SAW HOLE 65MM;80;
11566;;ALN TWINE COTTON 1MMX50GR;16.5;
11567;6002065005451;ABE FLEXOTHANE 1 310ML;154;
11568;;T/L SPANNER SET 8PC 6-13MM;136.8;
11569;;RUW CHUCK 13MM PROFESSIONAL;33;
11580;;WIRE BRUSH WHEEL 40X75MM;18.6;
11583;;ELECT PRE LUGS NO16/17/19;8;
11587;;PT TURNBUCKLE GALV H+E 12MM;30;
11588;6004765140500;SCRAPER - PROF 50MM HAMIL;37;
11592;;ASC TYRE JACK 340ML;44.2;
11601;;CC ACRYLIC PAINT 100ML;10.5;
11613;;NAA IMBUIA MATCHING 20LT;1165;
11618;6005721023370;RUW 3M WOOD BRAD DRILLBIT;19.5;
11619;6003851423770;PL COL LF BRIGHT YELLOW 1LT;886.4;
11620;6003851423879;PL COL LF MEDIUM YELLOW 1LT;880.2;
11621;6003851423671;PL COL HS PHTHALO GREEN 1LT;524.1;
11622;6003851423979;PL COL HS BRIGHT RED 1LT;714.8;
11623;6003851423572;PL COL HS PHTHALO BLUE 1LT;584.8;
11624;;PT TURNBUCKLE GALV H+E 8MM;7.7;
11627;;PT AXE HATCHET LASHER H/D 1.8K;174.29;
11630;6003173001076;H/R NO. 1 PRIMER 1LT;241;
11632;6004596002091;DURAM DURAMESH (200MMX10M);46.5;
11651;;WEBCO GARDEN FORK;119;
11652;;MTS SQUARE COMBINATION 300MM;75;
11655;;WEBCO TAPE - 3MT;21.7;
11656;;WEBCO TAPE - 5MT;36.3;
11658;;WEBCO TAPE - 20MT F/GLASS;102;
11659;;MEASURING TAPE 30MT STEEL;210;
11661;;WEBCO LEVEL SPIRIT - 600;72.3;
11662;;WEBCO LEVEL SPIRIT - 900;99.6;
11666;;WEBCO RETRACTABLE BLADE KNIFE;67.7;
11669;;WEBCO BLADE STANDARD BS5;12.1;
11670;;WEBCO HACKSAW BLADE 24T 12PCE;11.8;
11672;;WEBCO SNAP OFF BLADE PKD BSP18;17;
11673;;ZEL GLASS & TILE CUTTER + OIL;93;
11674;;T/L GLASS CUTTER 6 WHEEL;23.7;
11676;;ZEL HAND SAW 550MM;104.2;
11678;;T/L MITRE BOX & SAW 550MM;254.5;
11680;;WOODOC 35 MERANTI 500ML;105;
11683;;WEBCO PLIERS LONG NOSE 160MM;65.9;
11685;6005721025824;RUW PLIER 250MM GRIP ROUND HM;139;
11686;6005721098484;RUW PLIER SET 3PCS PROF.;533;
11689;;T/L MINI MULTI-TOOL PLIER 6 IN;101;
11690;;HAMMER CLUB 1KG W/HND WEBCO;140.3;
11691;;WEBCO HAMMER CLUB 1KG F/G/H;124.4;
11692;;WEBCO HAMMER CLUB 2KG F/G/H;150.8;
11693;6005721102242;RUW MALLET RUBBER 500G;90;
11695;6005721004188;RUW PLIER 250MM GRIP STRAIG PR;225.5;
11699;;T/L MULTI-TOOL HAMMER 9 FUNCT.;161;
11724;;L/C CABLE TIE BLACK 3.5X148;28;
11725;;DEK QD MEDIUM BASE 1LT;164.5;
11727;;L/C HALOGEN Q1 TUBE 150W 78MM;14.5;
11730;;ELECT BLANK COVER 100X100 C/T;26.9;
11732;;MTS ELEC WALL BOX 80X2X4;6.4;
11737;;PLIER 115MM MINI COMBINATION Z;31.6;
11738;;PLIER 115MM MINI LONGNOSE ZEL;37.4;
11743;;NAA DARK MAHOGANY P/S 20LT;815;
11746;;NAA MAHOGONY PENETRATING 20LT;1220;
11762;6005721019779;RUW 8.5MM IND/CON DRILLBIT;40;
11768;;ALN OUTDOOR BRAID 10MMX15M;66;
11780;;GRIPPON 1LT;45;
11786;;MTS BLADE DIAM SEGMENTED 230MM;230;
11794;;PT PLUG TIMER 24HR 16A 230V;72;
11797;;MAK ANGLE GRINDER;1152.7;
11799;;MAK DRILL HP1640;1506.7;
11800;;MAK JIGSAW 4329K;1315;
11802;;MAK ANGLE GRINDER;3619;
11807;;PROSTRUCT AGGREGATE 500GR;6;
11810;6003064001727;DURAM DURAMESH (200MMX2M);15;
11811;6008558025135;DEK COL MAROON XBPM 1LT;811.5;
11817;;SPRAYGUN BAFFLE PLASTIC;46.2;
11818;;SICKLE POLY HANDLE 390M;91.5;
11822;;CC SCUMBLE GLAZE;36.5;
11824;;PT HAMMER CLAW F/G 500GR;101.35;
11825;;PT HAMMER CLUB F/G 1KG;70.2;
11826;;HAMMER CLUB ACCENT 1.8KG F/G;145.9;
11827;;BRUSH - BANNISTER 91001;19.5;
11836;6005721029563;RUW 6X400M CON/LONG DRILLBIT;152.5;
11837;6005721091072;RUW 6MM GLASS DRILLBIT;67.5;
11838;;RUW 12M ARROW GLASS DRILLLBIT;34.6;
11840;;C/S W/L MATT BLACK 20LT;1021;
11841;6008558025104;DEK COL PTHALO GREEN XBPD 1LT;580.5;
